Time,Value_1,Value_2,Value_3
5.92498,0.504086,-0.326613,-0.0365786
5.93748,0.287216,-0.414355,-0.446419
5.94998,0.0800269,-0.499246,-0.845454
5.96248,-0.112885,-0.582964,-1.22664
5.97498,-0.287432,-0.666789,-1.58345
5.98748,-0.440116,-0.751452,-1.91001
5.99998,-0.568104,-0.837032,-2.20117
6.01248,-0.66932,-0.922933,-2.45263
6.02498,-0.742522,-1.00791,-2.66102
6.03748,-0.787354,-1.09019,-2.82396
6.04998,-0.804357,-1.16756,-2.94007
6.06248,-0.794929,-1.23765,-3.00893
6.07498,-0.761239,-1.29801,-3.03103
6.08748,-0.706082,-1.34642,-3.00762
6.09998,-0.632706,-1.38099,-2.94056
6.11248,-0.544623,-1.40033,-2.8322
6.12498,-0.445418,-1.40363,-2.68525
6.13748,-0.338575,-1.39075,-2.50262
6.14998,-0.22733,-1.36216,-2.28739
6.16248,-0.114562,-1.31895,-2.04275
6.17498,-0.00271779,-1.26272,-1.77197
6.18748,0.106219,-1.19554,-1.47845
6.19998,0.210732,-1.11979,-1.16572
6.21248,0.309745,-1.03808,-0.837431
6.22498,0.402563,-0.953126,-0.497443
6.23748,0.48881,-0.867641,-0.149783
6.24998,0.56834,-0.784256,0.201343
6.26248,0.641156,-0.705422,0.551571
6.27498,0.707326,-0.633346,0.896419
6.28748,0.76691,-0.569928,1.23133
6.29998,0.819905,-0.516714,1.55176
6.31248,0.866208,-0.474854,1.8532
6.32498,0.905601,-0.445078,2.13132
6.33747,0.937769,-0.427683,2.38198
6.34997,0.962331,-0.422528,2.60138
6.36247,0.978896,-0.429057,2.78611
6.37497,0.987128,-0.446328,2.93323
6.38747,0.986825,-0.473067,3.04035
6.39997,0.977979,-0.507737,3.1057
6.41247,0.96084,-0.548623,3.12814
6.42497,0.935948,-0.593918,3.10724
6.43747,0.904153,-0.64182,3.04324
6.44997,0.866596,-0.690611,2.93707
6.46247,0.824681,-0.738737,2.79028
6.47497,0.780014,-0.78486,2.60506
6.48747,0.73433,-0.827887,2.3841
6.49997,0.689424,-0.866984,2.13061
6.51247,0.64706,-0.901556,1.84821
6.52497,0.608903,-0.931222,1.54085
6.53747,0.57645,-0.955767,1.21281
6.54997,0.55097,-0.975092,0.868583
