time,phi_dot_deg_per_sec,theta_dot_deg_per_sec,psi_dot_deg_per_sec
15.575,0.960142,2.178183,-1.199379
15.6,0.898172,2.534013,-1.214068
15.625,0.807696,2.743703,-1.158865
15.65,0.709636,2.793199,-1.047992
15.675,0.621687,2.678958,-0.892847
15.7,0.556278,2.407813,-0.70171
15.725,0.519654,1.996014,-0.481475
15.75,0.511472,1.467764,-0.240057
15.775,0.525029,0.853556,0.011856
15.8,0.548679,0.188471,0.260746
15.825,0.568692,-0.489485,0.492219
15.85,0.572896,-1.141143,0.69413
15.875,0.553719,-1.728174,0.859285
15.9,0.509426,-2.215362,0.98633
15.925,0.443449,-2.572934,1.078558
15.95,0.36266,-2.77864,1.141448
15.975,0.275683,-2.819307,1.180085
16,0.191814,-2.69171,1.197335
16.025,0.120423,-2.402765,1.193181
16.05,0.070254,-1.969027,1.165416
16.075,0.048033,-1.415576,1.111665
16.1,0.056456,-0.774353,1.03224
16.125,0.09253,-0.082103,0.93255
16.15,0.147767,0.621851,0.823465
16.175,0.21085,1.297787,0.718972
16.2,0.271634,1.907639,0.632302
16.225,0.324264,2.41692,0.572744
16.25,0.368007,2.796543,0.544576
16.275,0.406009,3.024454,0.54785
16.3,0.443089,3.086934,0.579807
16.325,0.483567,2.979445,0.635882
16.35,0.529556,2.706954,0.709918
16.375,0.579865,2.283741,0.793876
16.4,0.62971,1.73273,0.877703
16.425,0.671585,1.084372,0.950076
16.45,0.697393,0.375065,1.000391
16.475,0.701277,-0.354897,1.02148
16.5,0.681861,-1.063785,1.011789
16.525,0.642655,-1.711098,0.975748
16.55,0.59046,-2.260126,0.922132
16.575,0.532749,-2.68014,0.861418
16.6,0.475394,-2.948068,0.803461
16.625,0.421507,-3.049651,0.756225
16.65,0.37146,-2.98009,0.725472
16.675,0.323752,-2.744197,0.71485
16.7,0.276383,-2.356054,0.725852
16.725,0.228448,-1.838181,0.757416
16.75,0.181502,-1.220263,0.805427
16.775,0.140049,-0.53752,0.862798
16.8,0.110596,0.171194,0.920719
16.825,0.09947,0.865493,0.970948
16.85,0.11051,1.505686,1.008014
16.875,0.1439,2.055052,1.030066
16.9,0.196524,2.482017,1.037985
16.925,0.263153,2.762064,1.033472
16.95,0.337521,2.879238,1.017139
16.975,0.412854,2.827152,0.987301
17,0.482038,2.60943,0.939698
17.025,0.537953,2.239532,0.868178
17.05,0.574459,1.739924,0.76635
17.075,0.588102,1.140607,0.629925
17.1,0.579955,0.477106,0.459061
17.125,0.556519,-0.211835,0.259577
